,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year
0,1,최형우,삼성,0.400,4,6,5,0,2,2,0,0,4,0,1,0,1,최형우,삼성,0.400,0,0,0,0,0,0.800,0.400,1.200,0,0.0,0.0,1.0,최형우,삼성,0.400,2.0,2.0,1.0,2.00,0.0,-,2.83,0.400,1.2,0.38,2002
1,2,마해영,삼성,0.323,133,596,532,92,172,40,2,33,315,116,0,6,2,마해영,삼성,0.323,46,5,12,74,14,0.592,0.386,0.978,53,0.313,0.0,2.0,마해영,삼성,0.323,75.0,142.0,150.0,0.95,0.0,0.62,3.54,0.269,110.6,0.322,2002
2,3,이승엽,삼성,0.323,133,617,511,123,165,42,2,47,352,126,0,2,3,이승엽,삼성,0.323,89,5,15,109,11,0.689,0.436,1.125,47,0.331,0.0,3.0,이승엽,삼성,0.323,91.0,103.0,136.0,0.76,0.0,0.82,4.13,0.366,136.1,0.368,2002
3,4,김한수,삼성,0.311,127,541,486,69,151,23,1,17,227,76,2,4,4,김한수,삼성,0.311,35,2,14,61,15,0.467,0.371,0.838,44,0.287,0.0,4.0,김한수,삼성,0.311,41.0,153.0,125.0,1.22,0.0,0.57,3.69,0.156,79.0,0.284,2002
4,5,강동우,삼성,0.288,130,521,466,75,134,23,3,9,190,49,7,1,5,강동우,삼성,0.288,46,0,1,76,9,0.408,0.352,0.760,36,0.33,0.0,5.0,강동우,삼성,0.288,35.0,150.0,107.0,1.40,0.0,0.61,3.97,0.120,65.0,0.26,2002
5,6,조동찬,삼성,0.286,5,7,7,2,2,0,0,1,5,1,0,0,6,조동찬,삼성,0.286,0,0,0,2,0,0.714,0.286,1.000,1,0.0,0.0,6.0,조동찬,삼성,0.286,1.0,2.0,1.0,2.00,0.0,0.00,2.57,0.429,1.5,0.307,2002
6,7,브리또,삼성,0.283,128,545,481,89,136,29,0,25,240,90,4,4,7,브리또,삼성,0.283,35,3,21,84,10,0.499,0.355,0.854,40,0.286,0.0,7.0,브리또,삼성,0.283,54.0,114.0,151.0,0.75,0.0,0.42,3.61,0.216,82.4,0.285,2002
7,8,진갑용,삼성,0.281,133,517,462,58,130,29,1,18,215,86,1,5,8,진갑용,삼성,0.281,41,4,8,56,13,0.465,0.347,0.812,34,0.358,0.0,8.0,진갑용,삼성,0.281,48.0,134.0,147.0,0.91,0.0,0.73,3.78,0.184,71.5,0.272,2002
8,9,김종훈,삼성,0.280,105,229,193,29,54,10,1,3,75,22,6,1,9,김종훈,삼성,0.280,26,1,3,43,7,0.389,0.372,0.761,13,0.275,0.205,9.0,김종훈,삼성,0.280,14.0,68.0,29.0,2.34,0.0,0.60,4.00,0.109,27.7,0.265,2002
9,10,양준혁,삼성,0.276,132,437,391,60,108,23,2,14,177,50,0,1,10,양준혁,삼성,0.276,39,3,5,56,9,0.453,0.349,0.802,27,0.237,0.214,10.0,양준혁,삼성,0.276,39.0,107.0,121.0,0.88,0.0,0.70,3.73,0.176,58.5,0.27,2002
