,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,년도,경기타입
0,1,심재학,두산,0.344,117,469,369,127,20,1,24,88,7,1,86,7,50,6,6,2001,KBO 정규시즌
1,2,김태형,두산,0.333,6,3,3,1,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 정규시즌
2,3,김동주,두산,0.324,103,421,364,118,18,0,18,62,2,2,47,4,57,10,3,2001,KBO 정규시즌
3,4,정수근,두산,0.306,122,546,467,143,21,9,2,53,52,11,71,1,51,8,6,2001,KBO 정규시즌
4,5,강규철,두산,0.300,8,10,10,3,0,0,1,3,0,0,0,0,2,0,1,2001,KBO 정규시즌
5,6,우즈,두산,0.291,118,525,436,127,16,2,34,113,12,3,83,1,114,11,3,2001,KBO 정규시즌
6,7,장원진,두산,0.285,129,559,513,146,17,3,5,53,11,4,38,3,43,13,2,2001,KBO 정규시즌
7,8,안경현,두산,0.282,131,539,457,129,31,1,17,87,4,1,54,13,51,17,18,2001,KBO 정규시즌
8,9,홍성흔,두산,0.267,122,452,408,109,18,1,8,48,9,4,26,6,53,13,9,2001,KBO 정규시즌
9,10,전상렬,두산,0.267,97,220,191,51,9,3,0,21,9,3,21,2,30,3,3,2001,KBO 정규시즌
10,11,홍원기,두산,0.264,84,284,242,64,13,1,6,42,1,0,29,5,39,4,14,2001,KBO 정규시즌
11,12,이도형,두산,0.256,40,93,86,22,7,1,2,13,0,0,5,2,16,4,0,2001,KBO 정규시즌
12,13,이종민,두산,0.244,92,147,131,32,2,0,0,13,0,1,10,1,19,3,5,2001,KBO 정규시즌
13,14,최훈재,두산,0.244,90,196,168,41,12,0,0,18,4,0,23,2,15,6,0,2001,KBO 정규시즌
14,15,강봉규,두산,0.236,64,97,89,21,7,1,2,11,2,0,6,1,28,1,1,2001,KBO 정규시즌
15,16,송원국,두산,0.235,36,86,81,19,2,0,3,15,2,0,3,0,14,4,2,2001,KBO 정규시즌
16,17,문희성,두산,0.227,29,49,44,10,2,0,2,6,0,1,4,0,12,0,1,2001,KBO 정규시즌
17,18,김민호,두산,0.216,109,357,306,66,17,2,4,29,14,3,29,9,44,7,13,2001,KBO 정규시즌
18,19,김호,두산,0.207,26,65,58,12,2,1,0,4,0,0,6,0,11,1,4,2001,KBO 정규시즌
19,20,니일,두산,0.193,17,68,57,11,4,0,1,3,0,0,10,1,15,2,0,2001,KBO 정규시즌
20,21,김원섭,두산,0.171,38,42,35,6,1,0,0,2,3,0,5,0,7,2,0,2001,KBO 정규시즌
21,22,오세학,두산,0.167,8,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
22,22,유필선,두산,0.167,8,7,6,1,0,0,0,0,0,0,1,0,3,0,1,2001,KBO 정규시즌
23,22,전형도,두산,0.167,15,14,12,2,0,0,0,1,0,0,1,0,6,0,0,2001,KBO 정규시즌
24,22,정원석,두산,0.167,13,21,18,3,1,0,1,2,0,0,1,2,7,1,1,2001,KBO 정규시즌
25,26,이대현,두산,0.056,21,19,18,1,1,0,0,1,0,0,1,0,5,0,2,2001,KBO 정규시즌
26,27,김성균,두산,0.000,11,8,8,0,0,0,0,0,0,0,0,0,4,0,1,2001,KBO 정규시즌
27,27,박명환,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
28,27,이상훈,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
29,27,정진용,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,KBO 정규시즌
0,1,정수근,두산,0.500,2,10,8,4,1,0,0,1,0,0,0,0,0,0,0,2001,KBO 준플레이오프
1,1,최훈재,두산,0.500,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,2001,KBO 준플레이오프
2,1,홍성흔,두산,0.500,2,9,8,4,1,0,0,1,0,0,0,1,1,0,0,2001,KBO 준플레이오프
