,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,년도,경기타입
0,1,최형우,삼성,0.400,4,6,5,2,2,0,0,0,2002,KBO 정규시즌
1,2,마해영,삼성,0.323,133,596,532,172,40,2,33,116,2002,KBO 정규시즌
2,3,이승엽,삼성,0.323,133,617,511,165,42,2,47,126,2002,KBO 정규시즌
3,4,김한수,삼성,0.311,127,541,486,151,23,1,17,76,2002,KBO 정규시즌
4,5,강동우,삼성,0.288,130,521,466,134,23,3,9,49,2002,KBO 정규시즌
5,6,조동찬,삼성,0.286,5,7,7,2,0,0,1,1,2002,KBO 정규시즌
6,7,브리또,삼성,0.283,128,545,481,136,29,0,25,90,2002,KBO 정규시즌
7,8,진갑용,삼성,0.281,133,517,462,130,29,1,18,86,2002,KBO 정규시즌
8,9,김종훈,삼성,0.280,105,229,193,54,10,1,3,22,2002,KBO 정규시즌
9,10,양준혁,삼성,0.276,132,437,391,108,23,2,14,50,2002,KBO 정규시즌
10,11,박한이,삼성,0.272,133,586,504,137,24,2,10,47,2002,KBO 정규시즌
11,12,장영균,삼성,0.250,5,6,4,1,1,0,0,0,2002,KBO 정규시즌
12,13,박정환,삼성,0.234,119,372,316,74,12,2,9,36,2002,KBO 정규시즌
13,14,현재윤,삼성,0.227,20,22,22,5,0,0,1,2,2002,KBO 정규시즌
14,15,김재걸,삼성,0.207,83,106,92,19,1,0,2,10,2002,KBO 정규시즌
15,16,하춘동,삼성,0.200,15,10,10,2,0,0,0,2,2002,KBO 정규시즌
16,17,임재철,삼성,0.194,104,82,72,14,4,0,1,4,2002,KBO 정규시즌
17,18,김승관,삼성,0.182,12,12,11,2,0,0,0,0,2002,KBO 정규시즌
18,19,김승권,삼성,0.179,59,92,84,15,3,0,1,14,2002,KBO 정규시즌
19,20,이준민,삼성,0.143,8,8,7,1,0,0,0,0,2002,KBO 정규시즌
20,21,강영식,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
21,21,권혁,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
22,21,김수관,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
23,21,김진웅,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
24,21,노병오,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
25,21,노장진,삼성,-,3,0,0,0,0,0,0,0,2002,KBO 정규시즌
26,21,라형진,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
27,21,박봉수,삼성,0.000,8,7,6,0,0,0,0,0,2002,KBO 정규시즌
28,21,손주인,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
29,21,오상민,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
0,21,이태호,삼성,0.000,8,7,6,0,0,0,0,0,2002,KBO 정규시즌
1,21,임창용,삼성,-,2,0,0,0,0,0,0,0,2002,KBO 정규시즌
2,21,장성국,삼성,0.000,9,8,8,0,0,0,0,0,2002,KBO 정규시즌
0,21,이태호,삼성,0.000,8,7,6,0,0,0,0,0,2002,KBO 시범경기
1,21,임창용,삼성,-,2,0,0,0,0,0,0,0,2002,KBO 시범경기
2,21,장성국,삼성,0.000,9,8,8,0,0,0,0,0,2002,KBO 시범경기
0,1,양준혁,삼성,0.447,11,43,38,17,4,0,4,11,2002,KBO 와일드카드
1,2,박봉수,삼성,0.400,9,10,10,4,1,0,0,1,2002,KBO 와일드카드
2,3,박한이,삼성,0.319,11,50,47,15,3,0,1,4,2002,KBO 와일드카드
3,4,진갑용,삼성,0.310,10,32,29,9,1,0,1,1,2002,KBO 와일드카드
4,5,이승엽,삼성,0.279,11,45,43,12,3,0,4,9,2002,KBO 와일드카드
5,6,강동우,삼성,0.250,11,44,40,10,2,1,1,7,2002,KBO 와일드카드
6,6,현재윤,삼성,0.250,3,4,4,1,1,0,0,1,2002,KBO 와일드카드
7,8,박정환,삼성,0.242,10,34,33,8,2,0,0,6,2002,KBO 와일드카드
8,9,김한수,삼성,0.229,11,39,35,8,1,0,0,5,2002,KBO 와일드카드
9,10,김승권,삼성,0.222,7,9,9,2,0,0,0,0,2002,KBO 와일드카드
10,11,임재철,삼성,0.172,11,31,29,5,1,0,1,2,2002,KBO 와일드카드
11,12,브리또,삼성,0.167,11,36,30,5,1,0,1,2,2002,KBO 와일드카드
12,13,김재걸,삼성,0.143,10,8,7,1,1,0,0,3,2002,KBO 와일드카드
13,14,마해영,삼성,0.139,11,43,36,5,1,0,0,0,2002,KBO 와일드카드
14,15,김현수,삼성,0.000,2,3,2,0,0,0,0,0,2002,KBO 와일드카드
15,15,루크,삼성,0.000,1,1,1,0,0,0,0,0,2002,KBO 와일드카드
16,15,문남열,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 와일드카드
17,15,오상민,삼성,-,1,0,0,0,0,0,0,0,2002,KBO 와일드카드
18,15,조동찬,삼성,0.000,4,1,1,0,0,0,0,0,2002,KBO 와일드카드
19,15,최형우,삼성,0.000,5,6,5,0,0,0,0,0,2002,KBO 와일드카드
20,15,하춘동,삼성,0.000,7,3,3,0,0,0,0,0,2002,KBO 와일드카드
0,1,최만호,LG,1.000,4,2,1,1,1,0,0,0,2002,KBO 정규시즌
1,2,최동수,LG,0.417,6,16,12,5,0,0,1,6,2002,KBO 정규시즌
2,3,조인성,LG,0.381,6,21,21,8,0,0,1,4,2002,KBO 정규시즌
3,4,류지현,LG,0.346,6,27,26,9,2,0,0,0,2002,KBO 정규시즌
4,5,이병규,LG,0.300,6,25,20,6,1,0,0,2,2002,KBO 정규시즌
5,6,마르티네스,LG,0.273,6,24,22,6,0,0,0,0,2002,KBO 정규시즌
6,7,이종열,LG,0.238,6,25,21,5,0,0,0,2,2002,KBO 정규시즌
7,8,권용관,LG,0.222,6,11,9,2,0,0,0,0,2002,KBO 정규시즌
8,9,김재현,LG,0.200,6,13,10,2,0,0,0,2,2002,KBO 정규시즌
9,10,박연수,LG,0.167,5,8,6,1,0,0,0,2,2002,KBO 정규시즌
10,11,박용택,LG,0.130,6,26,23,3,1,0,0,3,2002,KBO 정규시즌
11,12,심성보,LG,0.125,5,9,8,1,0,0,0,0,2002,KBO 정규시즌
12,13,김우석,LG,0.000,4,2,2,0,0,0,0,0,2002,KBO 정규시즌
13,13,손지환,LG,0.000,4,6,5,0,0,0,0,0,2002,KBO 정규시즌
14,13,이상훈,LG,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
15,13,이일의,LG,0.000,5,7,6,0,0,0,0,0,2002,KBO 정규시즌
16,13,장재중,LG,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
0,26,류택현,LG,-,3,0,0,0,0,0,0,0,2002,KBO 정규시즌
1,26,윤현식,LG,0.000,13,10,9,0,0,0,0,0,2002,KBO 정규시즌
2,26,이광우,LG,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
3,26,이동현,LG,-,3,0,0,0,0,0,0,0,2002,KBO 정규시즌
4,26,이상훈,LG,0.000,2,1,1,0,0,0,0,0,2002,KBO 정규시즌
5,26,최창호,LG,-,2,0,0,0,0,0,0,0,2002,KBO 정규시즌
6,26,케펜,LG,-,1,0,0,0,0,0,0,0,2002,KBO 정규시즌
7,26,퀸란,LG,0.000,13,28,21,0,0,0,0,0,2002,KBO 정규시즌
0,26,류택현,LG,-,3,0,0,0,0,0,0,0,2002,KBO 시범경기
1,26,윤현식,LG,0.000,13,10,9,0,0,0,0,0,2002,KBO 시범경기
2,26,이광우,LG,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
3,26,이동현,LG,-,3,0,0,0,0,0,0,0,2002,KBO 시범경기
4,26,이상훈,LG,0.000,2,1,1,0,0,0,0,0,2002,KBO 시범경기
5,26,최창호,LG,-,2,0,0,0,0,0,0,0,2002,KBO 시범경기
6,26,케펜,LG,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
7,26,퀸란,LG,0.000,13,28,21,0,0,0,0,0,2002,KBO 시범경기
0,26,류택현,LG,-,3,0,0,0,0,0,0,0,2002,KBO 와일드카드
1,26,윤현식,LG,0.000,13,10,9,0,0,0,0,0,2002,KBO 와일드카드
2,26,이광우,LG,-,1,0,0,0,0,0,0,0,2002,KBO 와일드카드
3,26,이동현,LG,-,3,0,0,0,0,0,0,0,2002,KBO 와일드카드
4,26,이상훈,LG,0.000,2,1,1,0,0,0,0,0,2002,KBO 와일드카드
5,26,최창호,LG,-,2,0,0,0,0,0,0,0,2002,KBO 와일드카드
6,26,케펜,LG,-,1,0,0,0,0,0,0,0,2002,KBO 와일드카드
7,26,퀸란,LG,0.000,13,28,21,0,0,0,0,0,2002,KBO 와일드카드
0,1,최동수,LG,0.500,2,7,6,3,0,0,0,2,2002,KBO 플레이오프
1,2,권용관,LG,0.333,2,7,6,2,1,0,0,0,2002,KBO 플레이오프
2,2,박용택,LG,0.333,2,9,9,3,0,0,0,0,2002,KBO 플레이오프
3,4,류지현,LG,0.286,2,9,7,2,0,0,0,0,2002,KBO 플레이오프
4,4,조인성,LG,0.286,2,7,7,2,0,0,0,1,2002,KBO 플레이오프
5,6,마르티네스,LG,0.250,2,9,8,2,0,0,1,4,2002,KBO 플레이오프
6,7,이종열,LG,0.167,2,9,6,1,0,0,0,0,2002,KBO 플레이오프
7,8,이병규,LG,0.111,2,9,9,1,0,0,0,0,2002,KBO 플레이오프
8,9,손지환,LG,0.000,2,7,4,0,0,0,0,0,2002,KBO 플레이오프
9,9,최만호,LG,-,2,0,0,0,0,0,0,0,2002,KBO 플레이오프
0,1,최만호,LG,1.000,4,1,1,1,0,0,0,0,2002,KBO 한국시리즈
1,2,박용택,LG,0.350,5,23,20,7,1,0,2,4,2002,KBO 한국시리즈
2,3,최동수,LG,0.316,5,20,19,6,2,0,2,5,2002,KBO 한국시리즈
3,4,심성보,LG,0.267,5,16,15,4,0,0,0,2,2002,KBO 한국시리즈
4,5,권용관,LG,0.250,5,19,16,4,1,0,0,4,2002,KBO 한국시리즈
5,5,이병규,LG,0.250,5,22,20,5,1,0,0,1,2002,KBO 한국시리즈
6,5,이종열,LG,0.250,5,23,20,5,1,0,0,0,2002,KBO 한국시리즈
7,8,마르티네스,LG,0.238,5,21,21,5,0,0,0,1,2002,KBO 한국시리즈
8,9,류지현,LG,0.200,5,24,20,4,0,0,0,3,2002,KBO 한국시리즈
9,10,조인성,LG,0.143,5,19,14,2,0,0,0,1,2002,KBO 한국시리즈
10,11,김우석,LG,-,1,0,0,0,0,0,0,0,2002,KBO 한국시리즈
11,11,손지환,LG,0.000,1,1,1,0,0,0,0,0,2002,KBO 한국시리즈
12,11,이일의,LG,0.000,3,8,8,0,0,0,0,0,2002,KBO 한국시리즈
13,11,장재중,LG,0.000,1,1,1,0,0,0,0,0,2002,KBO 한국시리즈
0,1,장성호,KIA,0.343,133,586,481,165,29,0,19,95,2002,KBO 시범경기
1,2,황성기,KIA,0.333,2,3,3,1,0,0,0,0,2002,KBO 시범경기
2,3,정성훈,KIA,0.312,114,385,340,106,19,3,9,39,2002,KBO 시범경기
