,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,년도,경기타입
0,1,최형우,삼성,0.400,0,0,0,0,0,0.800,0.400,1.200,0,0.000,0.000,2002,KBO 정규시즌
1,2,마해영,삼성,0.323,46,5,12,74,14,0.592,0.386,0.978,53,0.313,0.000,2002,KBO 정규시즌
2,3,이승엽,삼성,0.323,89,5,15,109,11,0.689,0.436,1.125,47,0.331,0.000,2002,KBO 정규시즌
3,4,김한수,삼성,0.311,35,2,14,61,15,0.467,0.371,0.838,44,0.287,0.000,2002,KBO 정규시즌
4,5,강동우,삼성,0.288,46,0,1,76,9,0.408,0.352,0.760,36,0.330,0.000,2002,KBO 정규시즌
5,6,조동찬,삼성,0.286,0,0,0,2,0,0.714,0.286,1.000,1,0.000,0.000,2002,KBO 정규시즌
6,7,브리또,삼성,0.283,35,3,21,84,10,0.499,0.355,0.854,40,0.286,0.000,2002,KBO 정규시즌
7,8,진갑용,삼성,0.281,41,4,8,56,13,0.465,0.347,0.812,34,0.358,0.000,2002,KBO 정규시즌
8,9,김종훈,삼성,0.280,26,1,3,43,7,0.389,0.372,0.761,13,0.275,0.205,2002,KBO 정규시즌
9,10,양준혁,삼성,0.276,39,3,5,56,9,0.453,0.349,0.802,27,0.237,0.214,2002,KBO 정규시즌
10,11,박한이,삼성,0.272,60,3,6,79,15,0.387,0.355,0.742,39,0.242,0.000,2002,KBO 정규시즌
11,12,장영균,삼성,0.250,1,0,1,1,0,0.500,0.500,1.000,0,0.000,0.000,2002,KBO 정규시즌
12,13,박정환,삼성,0.234,35,0,6,79,9,0.370,0.320,0.690,14,0.133,0.500,2002,KBO 정규시즌
13,14,현재윤,삼성,0.227,0,0,0,5,2,0.364,0.227,0.591,1,0.000,0.200,2002,KBO 정규시즌
14,15,김재걸,삼성,0.207,8,0,0,26,0,0.283,0.265,0.548,5,0.120,0.000,2002,KBO 정규시즌
15,16,하춘동,삼성,0.200,0,0,0,6,0,0.200,0.200,0.400,0,0.333,0.250,2002,KBO 정규시즌
16,17,임재철,삼성,0.194,3,0,5,19,1,0.292,0.275,0.567,2,0.214,0.333,2002,KBO 정규시즌
17,18,김승관,삼성,0.182,0,0,1,4,0,0.182,0.250,0.432,0,0.000,0.182,2002,KBO 정규시즌
18,19,김승권,삼성,0.179,3,0,1,22,1,0.250,0.207,0.457,3,0.217,0.136,2002,KBO 정규시즌
19,20,이준민,삼성,0.143,1,0,0,4,0,0.143,0.250,0.393,0,0.000,0.143,2002,KBO 정규시즌
20,21,강영식,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
21,21,권혁,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
22,21,김수관,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
23,21,김진웅,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
24,21,노병오,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
25,21,노장진,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
26,21,라형진,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
27,21,박봉수,삼성,0.000,1,0,0,0,0,0.000,0.143,0.143,0,0.000,0.000,2002,KBO 정규시즌
28,21,손주인,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
29,21,오상민,삼성,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
0,21,이태호,삼성,0.000,0,0,0,5,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
